County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Carlisle County,Kentucky,5104,42.9,3950,965,2492,2612,"(36.850059999999999, -88.950059999999993)"
Carroll County,Kentucky,10811,37.6,8093,1395,5506,5305,"(38.650060000000003, -85.116619999999998)"
Carter County,Kentucky,27720,39.299999999999997,21216,4119,13803,13917,"(38.316749999999999, -83.033230000000003)"
Casey County,Kentucky,15955,40.6,12190,2573,7787,8168,"(37.333410000000001, -84.949950000000001)"
Christian County,Kentucky,73955,28.9,52880,7593,37482,36473,"(36.883380000000002, -87.483339999999998)"
Clark County,Kentucky,35613,39.799999999999997,27244,5046,17394,18219,"(37.983409999999999, -84.266599999999997)"
Clay County,Kentucky,21730,37.700000000000003,16958,2622,11611,10119,"(37.166759999999996, -83.750470000000007)"
Clinton County,Kentucky,10272,41.6,7821,1703,5138,5134,"(36.750619999999998, -85.149959999999993)"
Crittenden County,Kentucky,9315,42.6,7205,1687,4646,4669,"(37.333379999999998, -88.083359999999999)"
Cumberland County,Kentucky,6856,43.8,5332,1309,3366,3490,"(36.800060000000002, -85.399959999999993)"
Daviess County,Kentucky,96656,38.799999999999997,73051,14118,46912,49744,"(37.700049999999997, -87.116659999999996)"
Edmonson County,Kentucky,12161,41.3,9504,2023,6071,6090,"(37.200049999999997, -86.250529999999998)"
Elliott County,Kentucky,7852,39.9,6252,1134,4401,3451,"(38.116750000000003, -83.116560000000007)"
Estill County,Kentucky,14672,41.3,11333,2247,7233,7439,"(37.70008, -83.949920000000006)"
Fayette County,Kentucky,295803,33.700000000000003,233170,31138,145591,150212,"(38.050080000000001, -84.449939999999998)"
Fleming County,Kentucky,14348,40.1,10842,2118,7041,7307,"(38.350079999999998, -83.683250000000001)"
Floyd County,Kentucky,39451,39.9,30577,5351,19295,20156,"(37.5501, -82.750439999999998)"
Franklin County,Kentucky,49285,39.799999999999997,38620,6882,23876,25409,"(38.233400000000003, -84.866619999999998)"
Fulton County,Kentucky,6813,42.8,5445,1223,3381,3432,"(36.550060000000002, -89.133399999999995)"
Gallatin County,Kentucky,8589,37.4,6286,979,4308,4281,"(38.750619999999998, -84.849950000000007)"
Garrard County,Kentucky,16912,41.2,12998,2463,8343,8569,"(37.616750000000003, -84.549940000000007)"
Grant County,Kentucky,24662,35.299999999999997,17739,2648,12301,12361,"(38.650069999999999, -84.649940000000001)"
Graves County,Kentucky,37121,39.799999999999997,28069,6145,18207,18914,"(36.73339, -88.650049999999993)"
Grayson County,Kentucky,25746,39.700000000000003,19602,3884,13052,12694,"(37.466720000000002, -86.349980000000002)"
Green County,Kentucky,11258,42.6,8709,1946,5548,5710,"(37.266730000000003, -85.533299999999997)"
Greenup County,Kentucky,36910,42,28585,6288,17860,19050,"(38.516750000000002, -82.949889999999996)"
Hancock County,Kentucky,8565,39.5,6340,1196,4328,4237,"(37.850050000000003, -86.766660000000002)"
Hardin County,Kentucky,105543,35,78127,11608,52663,52880,"(37.700060000000001, -85.966629999999995)"
Harlan County,Kentucky,29278,40.5,22593,4179,14273,15005,"(36.850090000000002, -83.183229999999995)"
Harrison County,Kentucky,18846,40.700000000000003,14265,2812,9216,9630,"(38.450069999999997, -84.349940000000004)"
Hart County,Kentucky,18199,40.1,13654,2713,9001,9198,"(37.300049999999999, -85.883300000000006)"
