County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Polk County,Minnesota,31600,39.799999999999997,24079,5220,15823,15777,"(47.750529999999998, -96.583680000000001)"
Pope County,Minnesota,10995,45.9,8658,2338,5557,5438,"(45.566630000000004, -95.450310000000002)"
Ramsey County,Minnesota,508640,34.6,390147,61181,246642,261998,"(45.033299999999997, -93.083550000000002)"
Red Lake County,Minnesota,4089,41.9,3082,701,2083,2006,"(47.883299999999998, -96.083650000000006)"
Redwood County,Minnesota,16059,42.6,12042,3164,7963,8096,"(44.416620000000002, -95.233609999999999)"
Renville County,Minnesota,15730,44.2,12074,3045,7948,7782,"(44.716630000000002, -94.966939999999994)"
Rice County,Minnesota,64142,35,48979,7881,32796,31346,"(44.349960000000003, -93.333550000000002)"
Rock County,Minnesota,9687,41.4,7184,1835,4788,4899,"(43.666629999999998, -96.100300000000004)"
Roseau County,Minnesota,15629,40.700000000000003,11525,2250,7980,7649,"(48.78331, -95.800269999999998)"
St. Louis County,Minnesota,200226,40.799999999999997,160667,31816,100207,100019,"(44.566630000000004, -94.200249999999997)"
Scott County,Minnesota,129928,34.799999999999997,90700,10016,64715,65213,"(44.633299999999998, -93.500789999999995)"
Sherburne County,Minnesota,88499,33.9,62722,7307,45273,43226,"(45.44997, -93.766919999999999)"
Sibley County,Minnesota,15226,40.299999999999997,11323,2479,7648,7578,"(44.566630000000004, -94.200249999999997)"
Stearns County,Minnesota,150642,33.299999999999997,115742,18228,75933,74709,"(45.549959999999999, -94.550280000000001)"
Steele County,Minnesota,36576,38.5,26926,5270,18108,18468,"(44.033299999999997, -93.133539999999996)"
Stevens County,Minnesota,9726,33.9,7689,1597,4799,4927,"(45.566630000000004, -96.000889999999998)"
Swift County,Minnesota,9783,44.4,7600,1966,4925,4858,"(45.266629999999999, -95.666979999999995)"
Todd County,Minnesota,24895,41.9,18685,4327,12746,12149,"(46.066630000000004, -94.883629999999997)"
Traverse County,Minnesota,3558,47.6,2780,937,1767,1791,"(45.799959999999999, -96.433679999999995)"
Wabasha County,Minnesota,21676,42.8,16623,3692,10866,10810,"(44.283299999999997, -92.216840000000005)"
Wadena County,Minnesota,13843,43.3,10517,2918,6831,7012,"(46.583289999999998, -94.966970000000003)"
Waseca County,Minnesota,19136,39.299999999999997,14613,2819,8976,10160,"(44.033299999999997, -93.583560000000006)"
Washington County,Minnesota,238136,38.299999999999997,174538,24984,117804,120332,"(45.033299999999997, -92.916880000000006)"
Watonwan County,Minnesota,11211,41.2,8403,2125,5612,5599,"(43.966619999999999, -94.616919999999993)"
Wilkin County,Minnesota,6576,43.5,5002,1169,3335,3241,"(46.250520000000002, -96.467010000000002)"
Winona County,Minnesota,51461,33.1,41492,6891,25307,26154,"(43.966630000000002, -91.766819999999996)"
Wright County,Minnesota,124700,34.6,87339,11934,62622,62078,"(45.183300000000003, -93.950249999999997)"
Yellow Medicine County,Minnesota,10438,42.9,7963,2031,5328,5110,"(44.716619999999999, -95.800299999999993)"
Adams County,Mississippi,32297,41.1,25102,5116,16129,16168,"(31.547940000000001, -91.355950000000007)"
Alcorn County,Mississippi,37057,39.200000000000003,28036,5888,18111,18946,"(34.906759999999998, -88.53116)"
Amite County,Mississippi,13131,43.7,10176,2390,6374,6757,"(31.175450000000001, -90.838710000000006)"
Attala County,Mississippi,19564,39.6,14478,3369,9303,10261,"(33.057070000000003, -89.592020000000005)"
Benton County,Mississippi,8729,39.4,6572,1343,4287,4442,"(34.821480000000001, -89.190629999999999)"
Bolivar County,Mississippi,34145,34,25502,4113,15876,18269,"(33.782890000000002, -90.791210000000007)"
Calhoun County,Mississippi,14962,39.700000000000003,11223,2476,7153,7809,"(33.932609999999997, -89.330349999999996)"
Carroll County,Mississippi,10597,43.3,8314,1817,5296,5301,"(33.45373, -89.901470000000003)"
Chickasaw County,Mississippi,17392,37.700000000000003,12820,2512,8267,9125,"(33.933450000000001, -88.914500000000004)"
Choctaw County,Mississippi,8547,41.9,6470,1486,4094,4453,"(33.340400000000002, -89.237570000000005)"
Claiborne County,Mississippi,9604,33.299999999999997,7335,1165,4519,5085,"(31.940989999999999, -90.948160000000001)"
Clarke County,Mississippi,16732,40.5,12604,2741,7960,8772,"(32.055149999999998, -88.71754)"
Clay County,Mississippi,20634,37.799999999999997,15332,2952,9670,10964,"(33.622900000000001, -88.700329999999994)"
Coahoma County,Mississippi,26151,32.799999999999997,18487,3186,12003,14148,"(34.217889999999997, -90.567880000000002)"
Copiah County,Mississippi,29449,36.700000000000003,22065,4029,14238,15211,"(31.891829999999999, -90.384259999999998)"
Covington County,Mississippi,19568,37.6,14481,2957,9517,10051,"(31.648219999999998, -89.552850000000007)"
DeSoto County,Mississippi,161252,35,115627,16341,78595,82657,"(34.924819999999997, -89.990369999999999)"
Forrest County,Mississippi,74934,31.3,57231,8664,35850,39084,"(31.314340000000001, -89.294229999999999)"
Franklin County,Mississippi,8118,40.1,6075,1315,3942,4176,"(31.472950000000001, -90.893990000000002)"
George County,Mississippi,22578,36.4,16518,2879,11421,11157,"(30.89019, -88.596410000000006)"
Greene County,Mississippi,14400,36.6,11244,1617,8510,5890,"(31.1999, -88.661689999999993)"
Grenada County,Mississippi,21906,39.4,16515,3277,10336,11570,"(33.774000000000001, -89.808419999999998)"
Hancock County,Mississippi,43929,40.700000000000003,33431,6685,21801,22128,"(30.351579999999998, -89.398380000000003)"
Harrison County,Mississippi,187105,35.299999999999997,141252,21952,93033,94072,"(30.409089999999999, -89.04365)"
Hinds County,Mississippi,245285,33.1,180242,26551,115203,130082,"(32.313200000000002, -90.244259999999997)"
Holmes County,Mississippi,19198,32.799999999999997,13621,2422,8983,10215,"(33.098739999999999, -90.049809999999994)"
Humphreys County,Mississippi,9375,34.4,6673,1169,4390,4985,"(33.160400000000003, -90.522310000000004)"
Issaquena County,Mississippi,1406,38.4,1125,203,816,590,"(32.842910000000003, -90.979550000000003)"
Itawamba County,Mississippi,23401,38.5,18001,3701,11442,11959,"(34.2926, -88.400599999999997)"
Jackson County,Mississippi,139668,37.200000000000003,104068,17341,68850,70818,"(30.423249999999999, -88.627799999999993)"
Jasper County,Mississippi,17062,40.6,12939,2735,8230,8832,"(31.973210000000002, -89.126720000000006)"
Jefferson County,Mississippi,7726,37.6,5901,998,3829,3897,"(31.717939999999999, -91.050939999999997)"
Jefferson Davis County,Mississippi,12487,41,9539,2068,5965,6522,"(31.573219999999999, -89.823970000000003)"
Jones County,Mississippi,67761,36.799999999999997,50413,9748,33020,34741,"(31.67266, -89.157560000000004)"
Kemper County,Mississippi,10456,38.5,8015,1635,5111,5345,"(32.752079999999999, -88.666430000000005)"
Lafayette County,Mississippi,47351,27.7,38591,4958,23384,23967,"(34.365940000000002, -89.519530000000003)"
Lamar County,Mississippi,55658,33,41050,6008,26919,28739,"(31.230180000000001, -89.455070000000006)"
Lauderdale County,Mississippi,80261,37,60181,11318,38676,41585,"(32.398200000000003, -88.691159999999996)"
Lawrence County,Mississippi,12929,38.9,9663,1922,6347,6582,"(31.573779999999999, -90.110640000000004)"
Leake County,Mississippi,23805,33.200000000000003,16443,3101,12350,11455,"(32.732080000000003, -89.510069999999999)"
Lee County,Mississippi,82910,36.4,60804,10749,39709,43201,"(34.26455, -88.706999999999994)"
Leflore County,Mississippi,32317,32.799999999999997,23566,3848,15512,16805,"(33.519840000000002, -90.223140000000001)"
Lincoln County,Mississippi,34869,37.799999999999997,25766,4944,16682,18187,"(31.552119999999999, -90.450100000000006)"
Lowndes County,Mississippi,59779,36,44724,7704,28341,31438,"(33.517060000000001, -88.401709999999994)"
Madison County,Mississippi,95203,35.799999999999997,69555,9917,45612,49591,"(32.56514, -90.064530000000005)"
Marion County,Mississippi,27088,37.700000000000003,20156,3977,13092,13996,"(31.24212, -89.838970000000003)"
Marshall County,Mississippi,37144,38.299999999999997,28441,4727,18398,18746,"(34.802599999999998, -89.530910000000006)"
Monroe County,Mississippi,36989,39.5,27907,5830,17582,19407,"(33.916499999999999, -88.497540000000001)"
Montgomery County,Mississippi,10925,41.4,8255,1878,5194,5731,"(33.489289999999997, -89.672579999999996)"
Neshoba County,Mississippi,29676,35.299999999999997,21161,3996,14231,15445,"(32.757080000000002, -89.113950000000003)"
Newton County,Mississippi,21720,37.1,16067,3233,10412,11308,"(32.410139999999998, -89.126170000000002)"
Noxubee County,Mississippi,11545,36.299999999999997,8416,1552,5526,6019,"(33.129010000000001, -88.555880000000002)"
Oktibbeha County,Mississippi,47671,25.4,38965,4391,23752,23919,"(33.438180000000003, -88.83005)"
Panola County,Mississippi,34707,36.5,25363,4411,16683,18024,"(34.363160000000001, -89.962310000000002)"
Pearl River County,Mississippi,55834,38.9,42102,8136,27569,28265,"(30.642690000000002, -89.641450000000006)"
Perry County,Mississippi,12250,38.700000000000003,9136,1732,5984,6266,"(31.254899999999999, -88.974490000000003)"
Pike County,Mississippi,40404,36.9,29433,5731,19232,21172,"(31.209620000000001, -90.435929999999999)"
Pontotoc County,Mississippi,29957,36.4,21877,3831,14771,15186,"(34.238720000000001, -89.020060000000001)"
Prentiss County,Mississippi,25276,38.5,19391,3972,12353,12923,"(34.632040000000003, -88.557829999999996)"
Quitman County,Mississippi,8223,37.299999999999997,6070,1156,3929,4294,"(34.261499999999998, -90.27704)"
Rankin County,Mississippi,141617,36.200000000000003,106083,16236,68525,73092,"(32.264310000000002, -90.040639999999996)"
Scott County,Mississippi,28264,34.9,20630,3512,13828,14436,"(32.39264, -89.524510000000006)"
Sharkey County,Mississippi,4916,39.5,3660,707,2251,2665,"(32.92013, -90.850930000000005)"
Simpson County,Mississippi,27503,37.9,20252,3848,13339,14164,"(31.904599999999999, -89.847020000000001)"
Smith County,Mississippi,16491,39.1,12230,2520,8028,8463,"(31.97099, -89.498400000000004)"
Stone County,Mississippi,17786,35.9,13455,2144,8905,8881,"(30.814630000000001, -89.133099999999999)"
Sunflower County,Mississippi,29450,33.5,22303,2995,15726,13724,"(33.569839999999999, -90.60454)"
Tallahatchie County,Mississippi,15378,35,11893,1816,8433,6945,"(33.962609999999998, -90.185090000000002)"
Tate County,Mississippi,28886,36,21427,3577,13960,14926,"(34.65455, -89.938980000000001)"
Tippah County,Mississippi,22232,38,16589,3255,10861,11371,"(34.776479999999999, -88.926450000000003)"
Tishomingo County,Mississippi,19593,42,15055,3534,9462,10131,"(34.727040000000002, -88.226429999999993)"
Tunica County,Mississippi,10778,32.1,7561,1019,5092,5686,"(34.6676, -90.363709999999998)"
Union County,Mississippi,27134,37.5,20144,3923,13255,13879,"(34.482880000000002, -89.017009999999999)"
Walthall County,Mississippi,15443,38,11368,2445,7502,7941,"(31.147680000000001, -90.119810000000001)"
Warren County,Mississippi,48773,37.700000000000003,36135,6258,23167,25606,"(32.31709, -90.857879999999994)"
Washington County,Mississippi,51137,35.299999999999997,36800,6295,23803,27334,"(33.370669999999997, -91.006770000000003)"
Wayne County,Mississippi,20747,37.200000000000003,15313,2884,9958,10789,"(31.659880000000001, -88.660870000000003)"
Webster County,Mississippi,10253,39.9,7674,1614,4985,5268,"(33.586790000000001, -89.251729999999995)"
Wilkinson County,Mississippi,9878,37.5,7607,1364,5228,4650,"(31.127400000000002, -91.261219999999994)"
Winston County,Mississippi,19198,39.5,14409,3171,9239,9959,"(33.089019999999998, -89.049779999999998)"
Yalobusha County,Mississippi,12678,40.6,9656,2098,6053,6625,"(34.074829999999999, -89.691749999999999)"
Yazoo County,Mississippi,28065,35.1,20988,3329,15276,12789,"(32.825409999999998, -90.378420000000006)"
Adair County,Missouri,25607,28.3,20635,3210,12204,13403,"(40.200029999999998, -92.600189999999998)"
Andrew County,Missouri,17291,41,13127,2681,8513,8778,"(39.983330000000002, -94.800240000000002)"
Atchison County,Missouri,5685,46.2,4503,1227,2818,2867,"(40.433329999999998, -95.400260000000003)"
Audrain County,Missouri,25529,38.5,19160,4084,11798,13731,"(39.216709999999999, -91.866839999999996)"
Barry County,Missouri,35597,41.8,26957,6271,17670,17927,"(36.733400000000003, -93.733530000000002)"
Barton County,Missouri,12402,40.299999999999997,9188,2132,6113,6289,"(37.500329999999998, -94.350229999999996)"
Bates County,Missouri,17049,41.3,12795,3019,8407,8642,"(38.250300000000003, -94.350229999999996)"
Benton County,Missouri,19056,51.5,15619,4936,9544,9512,"(38.300020000000004, -93.300200000000004)"
Bollinger County,Missouri,12363,42,9446,2059,6187,6176,"(37.333390000000001, -90.033439999999999)"
Boone County,Missouri,162642,29.6,128391,15072,78950,83692,"(39.033369999999998, -92.333519999999993)"
Buchanan County,Missouri,89201,36.9,68238,12501,44586,44615,"(39.65, -94.766909999999996)"
Butler County,Missouri,42794,40.6,32823,7265,20620,22174,"(36.716720000000002, -90.400109999999998)"
Caldwell County,Missouri,9424,41.3,7020,1576,4727,4697,"(39.650010000000002, -94.000500000000002)"
Callaway County,Missouri,44332,37.700000000000003,34329,5460,22766,21566,"(38.866709999999998, -91.900180000000006)"
Camden County,Missouri,44002,48.6,35612,9534,21871,22131,"(38.033369999999998, -92.766850000000005)"
Cape Girardeau County,Missouri,75674,36.4,59075,10834,36612,39062,"(37.383380000000002, -89.716759999999994)"
Carroll County,Missouri,9295,42.1,7103,1779,4536,4759,"(39.450020000000002, -93.51688)"
Carter County,Missouri,6265,41.2,4750,1040,3055,3210,"(36.950049999999997, -90.933459999999997)"
Cass County,Missouri,99478,37.9,73093,13490,48595,50883,"(38.650010000000002, -94.366889999999998)"
Cedar County,Missouri,13982,44.9,10674,3126,6876,7106,"(37.733370000000001, -93.866879999999995)"
Chariton County,Missouri,7831,45.8,6062,1675,3861,3970,"(39.516689999999997, -92.950190000000006)"
Christian County,Missouri,77422,36.299999999999997,56236,9464,37640,39782,"(36.966720000000002, -93.183520000000001)"
Clark County,Missouri,7139,42.3,5422,1261,3568,3571,"(40.433369999999996, -91.716830000000002)"
Clay County,Missouri,221939,36.200000000000003,164672,24964,108361,113578,"(39.316670000000002, -94.400229999999993)"
Clinton County,Missouri,20743,40.799999999999997,15649,3260,10413,10330,"(39.6, -94.400229999999993)"
Cole County,Missouri,75990,37.700000000000003,58053,9325,38340,37650,"(38.500309999999999, -92.283519999999996)"
Cooper County,Missouri,17601,38.700000000000003,13622,2702,9267,8334,"(38.850020000000001, -92.800190000000001)"
Crawford County,Missouri,24696,40.6,18695,4017,12291,12405,"(37.966709999999999, -91.283479999999997)"
Dade County,Missouri,7883,45.9,6098,1617,3953,3930,"(37.43338, -93.850210000000004)"
Dallas County,Missouri,16777,41.4,12608,2853,8341,8436,"(37.683369999999996, -93.016850000000005)"
Daviess County,Missouri,8433,40.1,6181,1441,4191,4242,"(39.966670000000001, -94.000500000000002)"
DeKalb County,Missouri,12892,39.9,10582,1771,8086,4806,"(39.883330000000001, -94.416899999999998)"
Dent County,Missouri,15657,43,12005,2977,7766,7891,"(37.633380000000002, -91.516810000000007)"
Douglas County,Missouri,13684,45,10623,2716,6754,6930,"(36.950060000000001, -92.483500000000006)"
Dunklin County,Missouri,31953,39.299999999999997,23869,5268,15344,16609,"(36.2834, -90.033429999999996)"
Franklin County,Missouri,101492,39.4,76388,14000,50303,51189,"(38.43338, -91.066810000000004)"
Gasconade County,Missouri,15222,45,11858,3062,7459,7763,"(38.450049999999997, -91.500439999999998)"
Gentry County,Missouri,6738,42.4,5084,1381,3258,3480,"(40.216659999999997, -94.416899999999998)"
Greene County,Missouri,275174,35.799999999999997,216801,38593,134066,141108,"(37.266710000000003, -93.350189999999998)"
Grundy County,Missouri,10261,41.6,7794,2100,4895,5366,"(40.116680000000002, -93.566879999999998)"
Harrison County,Missouri,8957,42.6,6736,1854,4444,4513,"(40.466670000000001, -94.000510000000006)"
Henry County,Missouri,22272,43.5,17316,4345,10890,11382,"(38.38335, -93.783550000000005)"
Hickory County,Missouri,9627,53,7962,2846,4731,4896,"(37.950029999999998, -93.300200000000004)"
Holt County,Missouri,4912,46.6,3941,1043,2426,2486,"(40.1, -95.216920000000002)"
Howard County,Missouri,10144,39.200000000000003,7966,1609,5041,5103,"(39.150030000000001, -92.683520000000001)"
Howell County,Missouri,40400,39.6,30336,6909,19549,20851,"(36.783389999999997, -91.883480000000006)"
Iron County,Missouri,10630,42.7,8227,1899,5250,5380,"(37.583379999999998, -90.700119999999998)"
Jackson County,Missouri,674158,36.200000000000003,508523,83990,325853,348305,"(39.016669999999998, -94.350229999999996)"
Jasper County,Missouri,117404,35.1,87125,15714,57292,60112,"(37.200060000000001, -94.350219999999993)"
Jefferson County,Missouri,218733,37.799999999999997,163745,24394,108846,109887,"(38.266719999999999, -90.583460000000002)"
Johnson County,Missouri,52595,29.8,40552,5644,26547,26048,"(38.75029, -93.800219999999996)"
Knox County,Missouri,4131,43.6,3099,828,2032,2099,"(40.133369999999999, -92.150180000000006)"
Laclede County,Missouri,35571,39.299999999999997,26664,5556,17527,18044,"(37.650039999999997, -92.600170000000006)"
Lafayette County,Missouri,33381,40.6,25194,5495,16479,16902,"(39.066679999999998, -93.783550000000005)"
Lawrence County,Missouri,38634,39.1,28459,6300,19032,19602,"(37.116720000000001, -93.833539999999999)"
Lewis County,Missouri,10211,38.700000000000003,7816,1664,5118,5093,"(40.10004, -91.716830000000002)"
Lincoln County,Missouri,52566,35.6,37840,5715,26208,26358,"(39.06671, -90.966800000000006)"
Linn County,Missouri,12761,42.2,9605,2430,6137,6624,"(39.866689999999998, -93.116870000000006)"
Livingston County,Missouri,15195,41.1,11866,2766,6801,8394,"(39.750300000000003, -93.550210000000007)"
McDonald County,Missouri,23083,36.5,16608,2887,11661,11422,"(36.633409999999998, -94.350210000000004)"
Macon County,Missouri,15566,42.3,11787,3026,7615,7951,"(39.833370000000002, -92.550190000000001)"
Madison County,Missouri,12226,41,9295,2167,6009,6217,"(37.48339, -90.350120000000004)"
Maries County,Missouri,9176,42.8,7022,1646,4638,4538,"(38.166710000000002, -91.883499999999998)"
Marion County,Missouri,28781,39,21893,4507,13854,14927,"(39.81671, -91.600160000000002)"
Mercer County,Missouri,3785,43.5,2822,763,1903,1882,"(40.433340000000001, -93.566890000000001)"
Miller County,Missouri,24748,40.200000000000003,18604,3897,12314,12434,"(38.216700000000003, -92.433509999999998)"
Mississippi County,Missouri,14358,39.4,11170,2188,7692,6666,"(36.816719999999997, -89.316739999999996)"
Moniteau County,Missouri,15607,37.799999999999997,11681,2153,8229,7378,"(38.616689999999998, -92.566860000000005)"
Monroe County,Missouri,8840,43.8,6779,1648,4416,4424,"(39.500320000000002, -91.983500000000006)"
Montgomery County,Missouri,12236,43.2,9383,2286,6118,6118,"(38.966709999999999, -91.483490000000003)"
Morgan County,Missouri,20565,46.1,16031,4535,10246,10319,"(38.416690000000003, -92.866860000000003)"
New Madrid County,Missouri,18956,40.4,14442,3045,9108,9848,"(36.583390000000001, -89.616749999999996)"
Newton County,Missouri,58114,39,43352,8857,28833,29281,"(36.916730000000001, -94.350219999999993)"
Nodaway County,Missouri,23370,28.5,19107,3077,11848,11522,"(40.349989999999998, -94.866919999999993)"
Oregon County,Missouri,10881,45.4,8455,2153,5395,5486,"(36.73339, -91.416799999999995)"
Osage County,Missouri,13878,39.299999999999997,10445,2077,7219,6659,"(38.450040000000001, -91.866839999999996)"
Ozark County,Missouri,9723,48.9,7774,2279,4909,4814,"(36.650060000000003, -92.450159999999997)"
Pemiscot County,Missouri,18296,37,13262,2693,8696,9600,"(36.233400000000003, -89.816749999999999)"
Perry County,Missouri,18971,39.200000000000003,14209,2960,9462,9509,"(37.700049999999997, -89.833439999999996)"
Pettis County,Missouri,42201,37.1,31417,6203,20747,21454,"(38.733350000000002, -93.300210000000007)"
Phelps County,Missouri,45156,33.799999999999997,35364,6157,23618,21538,"(37.900039999999997, -91.833489999999998)"
Pike County,Missouri,18516,39.9,14409,2883,10150,8366,"(39.366709999999998, -91.166809999999998)"
Platte County,Missouri,89322,38.4,67326,9967,43960,45362,"(39.416670000000003, -94.800240000000002)"
Polk County,Missouri,31137,37.799999999999997,23471,5025,15361,15776,"(37.616709999999998, -93.400199999999998)"
Pulaski County,Missouri,52274,26.6,39737,3768,29212,23062,"(37.833370000000002, -92.20017)"
Putnam County,Missouri,4979,45.1,3819,1076,2476,2503,"(40.483350000000002, -93.016869999999997)"
Ralls County,Missouri,10167,43.4,7789,1676,5141,5026,"(39.533380000000001, -91.633489999999995)"
Randolph County,Missouri,25414,38,19535,3605,13296,12118,"(39.433369999999996, -92.500460000000004)"
Ray County,Missouri,23494,40.6,17627,3483,11707,11787,"(39.366680000000002, -94.000500000000002)"
Reynolds County,Missouri,6696,44.6,5164,1343,3414,3282,"(37.383380000000002, -90.983459999999994)"
Ripley County,Missouri,14100,42.1,10793,2646,6984,7116,"(36.650060000000003, -90.850120000000004)"
St. Charles County,Missouri,360485,36.9,267625,40378,176922,183563,"(39.766710000000003, -92.016840000000002)"
St. Clair County,Missouri,9805,48.1,7845,2295,4947,4858,"(39.766710000000003, -92.016840000000002)"
Ste. Genevieve County,Missouri,18145,42.6,13924,2911,9167,8978,"(39.766710000000003, -92.016840000000002)"
St. Francois County,Missouri,65359,38.200000000000003,50951,9354,34794,30565,"(39.766710000000003, -92.016840000000002)"
St. Louis County,Missouri,998954,39.9,764780,149493,472903,526051,"(39.766710000000003, -92.016840000000002)"
Saline County,Missouri,23370,38.200000000000003,17974,3699,11577,11793,"(39.133360000000003, -93.21687)"
Schuyler County,Missouri,4431,41.3,3291,870,2155,2276,"(40.466700000000003, -92.533519999999996)"
Scotland County,Missouri,4843,39.1,3481,879,2355,2488,"(40.450029999999998, -92.150180000000006)"
Scott County,Missouri,39191,38.9,29341,5872,18879,20312,"(37.066719999999997, -89.566749999999999)"
Shannon County,Missouri,8441,43.4,6470,1462,4206,4235,"(37.15005, -91.383470000000003)"
Shelby County,Missouri,6373,42.3,4776,1239,3125,3248,"(39.766710000000003, -92.016840000000002)"
Stoddard County,Missouri,29968,41.1,23137,5346,14552,15416,"(36.766719999999999, -89.883420000000001)"
Stone County,Missouri,32202,49.9,26170,7870,15868,16334,"(36.750340000000001, -93.466859999999997)"
Sullivan County,Missouri,6714,40.799999999999997,5089,1144,3433,3281,"(40.21669, -93.116879999999995)"
Taney County,Missouri,51675,40.700000000000003,40248,9150,25150,26525,"(36.650060000000003, -93.050179999999997)"
Texas County,Missouri,26008,42.1,20287,4682,13529,12479,"(37.31671, -91.966819999999998)"
Vernon County,Missouri,21159,40,15896,3476,10269,10890,"(37.85004, -94.350229999999996)"
Warren County,Missouri,32513,39.5,24387,4749,16199,16314,"(38.766710000000003, -91.166820000000001)"
Washington County,Missouri,25195,39.200000000000003,19132,3378,12924,12271,"(37.950049999999997, -90.883470000000003)"
Wayne County,Missouri,13521,45.8,10715,2895,6773,6748,"(37.133380000000002, -90.483450000000005)"
Webster County,Missouri,36202,37.5,26163,4752,18298,17904,"(37.266719999999999, -92.866839999999996)"
Worth County,Missouri,2171,47.4,1727,514,1066,1105,"(40.483319999999999, -94.416899999999998)"
Wright County,Missouri,18815,40.700000000000003,13943,3291,9176,9639,"(37.266719999999999, -92.483500000000006)"
St. Louis city,Missouri,319294,33.9,251755,35175,154171,165123,"(39.766710000000003, -92.016840000000002)"
Beaverhead County,Montana,9246,42,7386,1565,4731,4515,"(45.166589999999999, -112.91753)"
Big Horn County,Montana,12865,30.5,8597,1290,6394,6471,"(45.44997, -107.46731)"
Blaine County,Montana,6491,35.1,4542,877,3248,3243,"(48.41666, -109.03406)"
Broadwater County,Montana,5612,45.4,4350,997,2871,2741,"(46.349930000000001, -111.48412999999999)"
Carbon County,Montana,10078,48.1,8092,1895,5105,4973,"(45.216610000000003, -109.06737)"
Carter County,Montana,1160,50.2,957,269,586,574,"(45.466659999999997, -104.55051)"
Cascade County,Montana,81327,38.9,62697,12690,40568,40759,"(47.299950000000003, -111.36745999999999)"
Chouteau County,Montana,5813,41.5,4262,1008,2861,2952,"(47.866639999999997, -110.46742999999999)"
Custer County,Montana,11699,42.1,9042,2044,5810,5889,"(46.283340000000003, -105.58387999999999)"
Daniels County,Montana,1751,50.4,1383,435,881,870,"(48.783360000000002, -105.53389)"
Dawson County,Montana,8966,43.5,7097,1606,4532,4434,"(47.266680000000001, -104.90052)"
Deer Lodge County,Montana,9298,46,7540,1782,4921,4377,"(46.049930000000003, -113.03421)"
Fallon County,Montana,2890,42.9,2211,504,1466,1424,"(46.35, -104.45050000000001)"
Fergus County,Montana,11586,47.8,9246,2490,5821,5765,"(47.299979999999998, -109.26739999999999)"
Flathead County,Montana,90928,41.2,69674,13103,45276,45652,"(48.333300000000001, -114.25124)"
Gallatin County,Montana,89513,32.5,70780,8470,46462,43051,"(45.666600000000003, -111.20079)"
Garfield County,Montana,1206,46.4,927,248,617,589,"(47.3, -106.96729000000001)"
Glacier County,Montana,13399,31.7,9163,1414,6555,6844,"(48.649979999999999, -112.96758)"
Golden Valley County,Montana,884,48.8,692,189,463,421,"(46.366630000000001, -109.18406)"
Granite County,Montana,3079,52.1,2555,753,1567,1512,"(46.399920000000002, -113.46758)"
Hill County,Montana,16096,35.1,11786,2038,8122,7974,"(48.65, -110.10077)"
Jefferson County,Montana,11406,46.2,8775,1605,5814,5592,"(46.183259999999997, -112.1675)"
Judith Basin County,Montana,2072,48.3,1645,431,1075,997,"(47.016629999999999, -110.30076)"
Lake County,Montana,28746,41.3,21465,4834,14223,14523,"(47.666600000000003, -114.08428000000001)"
Lewis and Clark County,Montana,63395,40.9,49019,8757,31300,32095,"(47.033279999999998, -112.4842)"
Liberty County,Montana,2339,44.6,1825,462,1125,1214,"(48.549990000000001, -111.01747)"
Lincoln County,Montana,19687,48.9,15791,4040,9998,9689,"(48.549959999999999, -115.38433000000001)"
McCone County,Montana,1734,48.9,1371,382,889,845,"(47.666679999999999, -105.8339)"
Madison County,Montana,7691,49.8,6327,1612,3997,3694,"(45.283259999999999, -111.86748)"
Meagher County,Montana,1891,50.1,1526,428,957,934,"(46.583280000000002, -110.83410000000001)"
Mineral County,Montana,4223,49.8,3465,926,2189,2034,"(47.13326, -114.96763)"
Missoula County,Montana,109299,34.299999999999997,87471,12457,54974,54325,"(47.016590000000001, -113.80092999999999)"
Musselshell County,Montana,4538,49.1,3604,854,2262,2276,"(46.516640000000002, -108.38401)"
Park County,Montana,15636,45.4,12550,2589,7793,7843,"(45.483269999999997, -110.56743)"
Petroleum County,Montana,494,47.3,381,103,267,227,"(47.149990000000003, -108.26734999999999)"
Phillips County,Montana,4253,46.8,3269,863,2097,2156,"(48.2, -107.93401)"
Pondera County,Montana,6153,42.8,4617,1161,2972,3181,"(48.216639999999998, -112.1842)"
Powder River County,Montana,1743,49.3,1380,396,885,858,"(45.383319999999998, -105.65055)"
Powell County,Montana,7027,45.1,5808,1152,4294,2733,"(46.899940000000001, -112.96755)"
Prairie County,Montana,1179,53.6,970,307,601,578,"(46.850009999999997, -105.36721)"
Ravalli County,Montana,40212,46,31388,7728,19964,20248,"(46.133249999999997, -114.13426)"
Richland County,Montana,9746,41.3,7463,1448,5017,4729,"(47.783349999999999, -104.53384)"
Roosevelt County,Montana,10425,31.6,7114,1126,5144,5281,"(48.300020000000004, -105.13387)"
Rosebud County,Montana,9233,36.5,6501,1058,4671,4562,"(46.333329999999997, -106.58392000000001)"
Sanders County,Montana,11413,49.8,9059,2456,5852,5561,"(47.666600000000003, -115.16764999999999)"
Sheridan County,Montana,3384,50.3,2726,782,1698,1686,"(48.71669, -104.40051)"
Silver Bow County,Montana,34200,41.3,27016,5614,17271,16929,"(45.899929999999998, -112.66753)"
Stillwater County,Montana,9117,45.7,7023,1495,4674,4443,"(45.666609999999999, -109.30072)"
Sweet Grass County,Montana,3651,46.6,2811,754,1846,1805,"(45.866610000000001, -109.90074)"
